n,f,trial_count,raf_prob
6,0.0,200,0.0
6,0.131578947368421,200,0.025
6,0.2631578947368421,200,0.05
6,0.3947368421052631,200,0.065
6,0.5263157894736842,200,0.115
6,0.6578947368421052,200,0.105
6,0.7894736842105263,200,0.13
6,0.9210526315789472,200,0.22
6,1.0526315789473684,200,0.355
6,1.1842105263157894,200,0.57
6,1.3157894736842104,200,0.84
6,1.4473684210526314,200,0.96
6,1.5789473684210529,200,0.995
6,1.7105263157894737,200,1.0
6,1.8421052631578947,200,1.0
6,1.9736842105263157,200,1.0
6,2.1052631578947367,200,1.0
6,2.236842105263158,200,1.0
6,2.3684210526315788,200,1.0
6,2.5,200,1.0
7,0.0,200,0.0
7,0.131578947368421,200,0.0
7,0.2631578947368421,200,0.04
7,0.3947368421052631,200,0.03
7,0.5263157894736842,200,0.035
7,0.6578947368421052,200,0.035
7,0.7894736842105263,200,0.05
7,0.9210526315789472,200,0.07
7,1.0526315789473684,200,0.105
7,1.1842105263157894,200,0.32
7,1.3157894736842104,200,0.745
7,1.4473684210526314,200,0.98
7,1.5789473684210529,200,0.99
7,1.7105263157894737,200,1.0
7,1.8421052631578947,200,1.0
7,1.9736842105263157,200,1.0
7,2.1052631578947367,200,1.0
7,2.236842105263158,200,1.0
7,2.3684210526315788,200,1.0
7,2.5,200,1.0
8,0.0,200,0.0
8,0.131578947368421,200,0.005
8,0.2631578947368421,200,0.005
8,0.3947368421052631,200,0.015
8,0.5263157894736842,200,0.0
8,0.6578947368421052,200,0.015
8,0.7894736842105263,200,0.04
8,0.9210526315789472,200,0.025
8,1.0526315789473684,200,0.025
8,1.1842105263157894,200,0.2
8,1.3157894736842104,200,0.81
8,1.4473684210526314,200,0.975
8,1.5789473684210529,200,0.995
8,1.7105263157894737,200,1.0
8,1.8421052631578947,200,1.0
8,1.9736842105263157,200,1.0
8,2.1052631578947367,200,1.0
8,2.236842105263158,200,1.0
8,2.3684210526315788,200,1.0
8,2.5,200,1.0
9,0.0,200,0.0
9,0.131578947368421,200,0.0
9,0.2631578947368421,200,0.0
9,0.3947368421052631,200,0.0
9,0.5263157894736842,200,0.005
9,0.6578947368421052,200,0.015
9,0.7894736842105263,200,0.005
9,0.9210526315789472,200,0.02
9,1.0526315789473684,200,0.03
9,1.1842105263157894,200,0.04
9,1.3157894736842104,200,0.72
9,1.4473684210526314,200,0.98
9,1.5789473684210529,200,1.0
9,1.7105263157894737,200,0.99
9,1.8421052631578947,200,1.0
9,1.9736842105263157,200,1.0
9,2.1052631578947367,200,1.0
9,2.236842105263158,200,1.0
9,2.3684210526315788,200,1.0
9,2.5,200,1.0
10,0.0,100,0.0
10,2.5,100,0.99
10,0.2777777777777778,100,0.0
10,0.5555555555555556,100,0.0
10,0.8333333333333334,100,0.03
10,1.1111111111111112,100,0.0199999999999999
10,1.3888888888888888,100,0.9299999999999998
10,1.6666666666666667,100,0.98
10,1.9444444444444449,100,1.0
10,2.2222222222222223,100,1.0
6,1.0,100,0.31
6,1.25,100,0.63
6,1.5,100,0.98
7,1.0,100,0.07
7,1.25,100,0.6
7,1.5,100,1.0
8,1.0,100,0.07
8,1.25,100,0.44
8,1.5,100,1.0
10,1.0,100,0.0
10,1.125,100,0.0099999999999999
10,1.25,100,0.1299999999999999
10,1.375,100,0.88
10,1.5,100,0.98
9,1.0,100,0.0199999999999999
9,1.125,100,0.0199999999999999
9,1.25,100,0.2499999999999999
9,1.375,100,0.93
9,1.5,100,0.98
10,1.31,25,0.52
10,1.18,75,0.0
